Vermessungsbuero	XXX	Auftrag										
Strasse	98											
12345	Irgendwo											
												
Job:	ISLA1	Name:										
Datum:10.07.2010												
Geraet:	TCRA1205+											
												
PNR	Class	CodeID	Rechts	Hoch	eHoehe	oHoehe	rms	E	rms	N	rms	H
	6.RB8M	MEAS	--------	71.162	-13.009	1	0.134	0.005	0.002	0.002		
	6.RB4M	MEAS	--------	75.424	-13.58	1	-0.064	0.005	0.002	0.002		
	6.RB2M	MEAS	--------	77.298	-14.09	1	-0.243	0.005	0.002	0.002		
	6.RB1M	MEAS	--------	78.303	-14.32	1	-0.328	0.005	0.002	0.002		
	6.WLRB	MEAS	--------	79.369	-14.758	1	-0.443	0.005	0.002	0.002		
	6.WLLB	MEAS	--------	149.221	-29.591	1	-0.261	0.005	0.005	0.005		
	6.LB1M	MEAS	--------	150.283	-30.209	1	-0.239	0.005	0.005	0.005		
	6.LB2M	MEAS	--------	151.504	-30.737	1	-0.198	0.005	0.005	0.005		
	6.LB4M	MEAS	--------	153.224	-31.419	1	-0.198	0.005	0.005	0.005		
	6.LB8M	MEAS	--------	156.917	-33.016	1	-0.1	0.005	0.005	0.005		
	6.LB16M	MEAS	--------	164.98	-36.095	1	0.082	0.005	0.005	0.005		
	6.LB32M	MEAS	--------	182.688	-39.597	1	0.24	0.005	0.006	0.006		
	6.LB64M	MEAS	--------	217.415	-52.797	1	0.807	0.005	0.007	0.007		
	7.RB32M	MEAS	--------	246.067	-65.003	1	0.534	0.005	0.008	0.008		
	7.RB16M	MEAS	--------	263.138	-70.652	1	0.521	0.005	0.008	0.009		
	7.RB8M	MEAS	--------	271.349	-73.855	1	0.595	0.005	0.009	0.009		
	7.RB4M	MEAS	--------	274.875	-75.503	1	0.38	0.005	0.009	0.009		
	7.RB2M	MEAS	--------	276.688	-76.385	1	0.252	0.005	0.009	0.009		
	7.RB1M	MEAS	--------	277.829	-76.948	1	-0.153	0.005	0.009	0.009		
	7.WLRB	MEAS	--------	278.595	-77.413	1	-0.341	0.005	0.009	0.009		
	7.W1	MEAS	--------	279.106	-77.546	1	-0.386	0.005	0.009	0.009		
	7.W2	MEAS	--------	279.765	-77.836	1	-0.413	0.005	0.009	0.009		
	7.W3	MEAS	--------	280.243	-78.084	1	-0.429	0.005	0.009	0.009		
	7.W4	MEAS	--------	280.955	-78.339	1	-0.472	0.005	0.009	0.009		
	7.W5	MEAS	--------	281.604	-78.604	1	-0.452	0.005	0.009	0.009		
	7.W6	MEAS	--------	282.389	-78.932	1	-0.472	0.005	0.009	0.009		
	7.W7	MEAS	--------	283.225	-79.242	1	-0.408	0.005	0.009	0.009		
	7.W8	MEAS	--------	284.039	-79.548	1	-0.482	0.005	0.009	0.009		
	7.W9	MEAS	--------	284.848	-79.774	1	-0.451	0.006	0.009	0.009		
	7.W10	MEAS	--------	285.843	-80.013	1	-0.44	0.006	0.009	0.009		
	7.W11	MEAS	--------	286.82	-80.377	1	-0.419	0.006	0.009	0.009		
	7.W12	MEAS	--------	287.85	-80.664	1	-0.48	0.006	0.009	0.009		
	7.W13	MEAS	--------	288.263	-80.709	1	-0.438	0.006	0.009	0.009		
	7.W14	MEAS	--------	288.923	-80.836	1	-0.368	0.006	0.009	0.009		
	7.W15	MEAS	--------	289.549	-80.964	1	-0.445	0.006	0.009	0.009		
	7.W16	MEAS	--------	290.072	-80.877	1	-0.462	0.006	0.009	0.01		
	7.WLLB	MEAS	--------	290.334	-80.778	1	-0.375	0.006	0.009	0.01		
	7.LB1M	MEAS	--------	291.525	-81.201	1	-0.308	0.006	0.009	0.01		
	7.LB2M	MEAS	--------	292.47	-81.651	1	-0.14	0.006	0.009	0.01		
	7.LB4M	MEAS	--------	293.698	-82.062	1	0.015	0.006	0.009	0.01		
	7.LB8M	MEAS	--------	297.03	-84.026	1	1.324	0.006	0.009	0.01		
	6.WS1	MEAS	--------	312.969	55.633	1	0.285	0.005	0.01	0.01		
	6.WS2	MEAS	--------	309.171	52.754	1	0.257	0.005	0.01	0.01		
	6.WS3	MEAS	--------	304.797	49.35	1	0.27	0.005	0.01	0.01		
	6.WS4	MEAS	--------	302.508	47.392	1	0.269	0.005	0.01	0.01		
	6.WS5	MEAS	--------	299.983	45.159	1	0.288	0.005	0.01	0.01		
	6.WS6	MEAS	--------	297.368	43.385	1	0.261	0.005	0.009	0.009		
	6.WS7	MEAS	--------	294.458	41.063	1	0.248	0.005	0.009	0.009		
	6.WS8	MEAS	--------	291.927	39.128	1	0.257	0.005	0.009	0.009		
	6.WS9	MEAS	--------	289.495	37.399	1	0.249	0.005	0.009	0.009		
	6.WS10	MEAS	--------	286.464	34.871	1	0.256	0.005	0.009	0.009		
	6.WS11	MEAS	--------	284.428	33.371	1	0.256	0.005	0.009	0.009		
	6.WS12	MEAS	--------	282.733	31.894	1	0.254	0.005	0.009	0.009		
	6.WS13	MEAS	--------	280.602	30.621	1	0.241	0.005	0.009	0.009		
